,Name,Site,Address
,Argyll Coffee,https://www.argyllcoffee.co.uk/,"Unit 1, Kames Industrial Estate, Kames, Argyll, Scotland, PA21 2AB"
,Ariosa coffee,www.ariosacoffee.com,"Borranstown, Ashbourne, Co. Meath, Ireland"
,Aroma Tea & Coffee,www.aroma-coffee.co.uk,"4 Hotspur Park, Knights Way, Battlefield Enterprise Park, Shrewsbury, Shropshire , SY1 3FB"
,Artisan Coffee Roasters,https://www.artisancoffeeroasters.co.uk/,"The Pastures, Winchester Hampshire, UK"
,Artisan Roast,http://www.artisanroast.co.uk,"57 Broughton Street, Edinburgh, Scotland, EH1 3RJ"
,Assembly Coffee,assemblycoffee.co.uk,
,Atkinsons Coffee Roasters,www.thecoffeehopper.com,"China Street, Lancaster, Lancashire, LA1 1EX"
,Bad Habits Coffee,https://badhabitscoffee.ie/,"Basin street, Naas, Co. Kildare."
,Bad Hand Coffee,https://www.badhandcoffee.com/,"7 Norwich Road, Bournemouth, United Kingdom"
,Bailies Coffee,www.bailiescoffee.com,"27 Stockman’s Way, Belfast, Northern Ireland, BT9 7ET"
,Balance Coffee,www.balancecoffee.co.uk,"Balance Coffee, Kemp House, 152-160 City Road,London, EC1V 2NX"
,Baltic Coffee,https://balticcoffee.co.uk/,"Studio N, 49 Jamaica Street, Liverpool L1 0AH"
,Barista Cats,https://www.barista-cats.com/,Beaconsfield
,BaristocracyCoffee,www.baristocracycoffee.com,
,Basecamp Coffee Roasters – Formerly Makushi Coffee,https://basecampcoffee.bigcartel.com,"12 Steep Hill, Lincoln, LN21LT. On the steep hill on the way up to Lincoln Cathedral."
,Batch26 Coffee co,www.batch26.com,London
,Bay Coffee Roasters,https://baycoffeeroasters.com/,Unit 2 / Parc Tanygroes Cardigan Wales SA43 2JP
,Baytown Coffee Company,www.baytowncoffeecompany.com,"The Roastery, Hawsker, Whitby, YO22 4JU"
,Bean 14,https://bean14.com/,"Bean 14 Limited La Rue des Reines Forest, Guernsey GY8 0JB"
,Bean Bear,https://beanbear.co.uk/,"BeanBear, 3rd Floor 207 Regent Street London W1B 3HH United Kingdom"
,Bean Brothers,www.beanbrothers.co.uk,"Fairfield Mills, Queen Street South, Huddersfield, West Yorkshire, HD1 3DX"
,bean miles,beanmiles.co.uk,"Wetheral, Carlisle, Cumbria "
,Bean Shot Coffee,http://www.beanshot.co.uk,"The Roastery, Old Mill Business Park, Station Road, Brunton, Somerset, BA10 0EH"
,Bean Smitten,www.beansmitten.co.uk/,"Cedar Gables, Hastings Road, Flimwell, East Sussex, TN5 7QA"
,Bean Vibes Coffee,https://beanvibes-coffee.co.uk/,"7 Bell Yard , London , WC2A 2JR"
,Bean West Coffee,https://www.beanwestcoffee.com/,"Unit 18/5B Westport Industrial Park Mayo, Ireland"
,Beanberry Coffee Company,www.beanberrycoffee.com,"13a Boundary Business Centre, Boundary Way, Woking, Surrey, GU21 5DH"
,Beans and Leaves,www.beansandleaveswolves.co.uk,"Wolverhampton, West Midlands"
,Beanworks,www.thebeanworks.co.uk,"The Roastery, 5 Viking Business Centre, High Street, Woodville, Derbyshire, DE11 7EH"
,Bear Market,https://www.bearmarket.ie/,Lower Kilmacud Road - Old Church Stillorgan Co Dublin A94T714
,Belfast Coffee Roasters,www.belfastcoffeeroasters.com,Unit 5C Townsend Enterprise Park Townsend Street BELFAST BT13 2ES
,Bell Lane Coffee,www.belllane.ie,"Mullingar, Co Westmeath, Ireland"
,Bennachie Coffee Roasters,https://www.bennachie.coffee/,"Banchory, Grampian, Scotland."
,Berries Coffee Co,https://www.berriescoffee.co.uk/,"Berries Coffee, Hart Street, Henley-on-Thames"
,Bewley’s Ireland,www.bewleys.com,"78/79 Grafton Street, Dublin, Ireland"
,Big Dog Coffee,https://bigdogcoffeeco.com/,"138 Blackwood High Street, Blackwood, United Kingdom"
,Bionic Bull,https://bionicbull.co.uk/,Unit 5 Dicker Mill Hertford Hertfordshire SG13 7AE
,Birdie Coffee,https://www.birdie.coffee/,Alyth
,Black Cat Coffee,www.blackcatcoffee.co.uk,"Norfolk, UK"
,Black Mountain Roast,https://blackmountainroast.com/,"Llangwathan Farm, Hay, United Kingdom"
,Black Sheep Coffee,www.leavetheherdbehind.com,"Café in Camden, 26 Camden High Street, London, NW1 0JH"
,Blenders of Northampton (Gaggia),https://gaggia.ecwid.com/,"75 St Giles' St, Northampton, NN1 1JF"
,Blind Monkey Coffee,https://blindmonkeycoffee.com/,"20 Woodbank Dr, Finglas, DUBLIN 11, D11 Y2A2, Ireland"
,Blind Owl Coffee,www.blindowlcoffee.com,"32 Feeder Road, Bristol, BS2 0SE"
,Blindman Coffee,https://www.blindmancoffee.co.uk/,"Unit 27, New Hall Hey Business Park, BB4 6HL"
,Bloss Coffee Company,www.andbloss.com,"Kingsmill Granary Mill House Mill Hill, Kingsnorth, Kent, TN23 3EW"
,Blossom Coffee Roasters,www.blossomcoffee.co.uk,"The Old Bank Residency, Hanover Street, Noma, Manchester M4 4AH"
,Blue Goose Coffee,bluegoose.coffee,
,Blue Hour Coffee,https://www.bluehourcoffee.co.uk/,
,Blue Monday Coffee,https://bluemondaycoffee.co.uk/,
,Blue Sky Bangor,https://www.blueskybangor.co.uk/,"Ambassador Hall, Rear of 236 High Street , Bangor, United Kingdom"
,Boden Park Coffee,https://bodenparkcoffeeco.com/,"Boden Park Coffee Roasters Ltd Unit 9A, 28 Townsend Street Belfast, BT13 2ES, NI"
,Bohemia Roasts,www.bohemiaroasts.com,"9 Cross Keys Mews, St Neots, Cambridgeshire, PE19 2AR"
,Boona Boona Coffee Roasters,www.boonaboona.co.uk,Bristol
,Boost Coffee,https://boostcoffeeco.co.uk/,"GL17 9ED Drybrook, , United Kingdom"
,Bosk Coffee Roasters,https://www.boskcoffeeroasters.co.uk/,
,Boun Beans,http://bounbeans.com,"BOUN BEANS, 8 SHEPHERD MARKET, MAYFAIR, LONDON, W1J 7QU"
,Brady’s Coffee,https://www.bradyscoffee.ie/,Wicklow
,Braw Beans,https://brawbeans.com/,"Zetland, West Linton, United Kingdom"
,Brazier Roasters,braziercoffeeroasters.co.uk,"Puttee House Unit 10, Tonedale Mill Business Park Wellington, Somerset TA21 0AW"
,Brew Box Coffee,https://www.brewboxcoffee.ie/,
,Brew Coffee Plus,https://www.brewcoffeeplus.com/,
,Brewery Lane Coffee,https://www.brewerylanecoffee.co.uk/,"Dundee, Scotland"
,Brewup Coffee,https://brewup.co.uk/,"Old Windsor, Windsor, Berkshire, SL4 2PB"
,Bridge Coffee Roasters,www.bridgecoffeeroasters.co.uk,"1 Alder Avenue, Dyffryn Business Park, Ystrad Mynach, Cardiff, Wales, CF82 7RJ"
,Bright Lights Coffee,https://www.brightlightscoffee.com/,
,Bro Coffee,https://brocoffee.co.uk/,
,Broadway Coffee Roasters,https://broadwaycoffeeroasters.co.uk/,147 Highland Road Southsea Portsmouth PO4 9EY
,Brown Bear,brownbear.co,UK 
,Bruce & Lukes Coffee,www.bruceandlukes.com,"Carlisle, Cumbria"
,Butterworth & Son,www.butterworthandson.co.uk,"1D Boldero Road, Moreton Hall, Bury St Edmunds, Suffolk, IP32 7BS"
,Cafe Hormozi,www.hormozi.co.uk,"Solna, Keycol hill, Sittingbourne, ME9 8NE, Kent"
,Cafe Moly Roastery,https://cafemolyroastery.com/,"99 Douglas Street, Cork, Ireland"
,Cafe Rico,https://www.caferico.co.uk,"Cafe Rico Ltd, Archard House, Waverly Road, Weymouth, Dorset, DT3 5HL"
,Cafédirect Handpicked,handpicked.cafedirect.co.uk,"21 Whiston Road, London, E2 8EX"
,Cafeology,https://store.cafeology.com/,"Sheffield, United Kingdom"
,Cafes Novell,https://www.novellcoffee.co.uk/,Wetherby
,Cafezinho Coffee,https://cafezinho.coffee,"Cafezinho Coffees Ltd All Saints, High Drive, Woldingham, Caterham, Surrey, CR3 7ED"
,Caffe Ginevra UK,www.caffeginevra.co.uk,"16 Front Street, Prudhoe, Northumberland, NE42 5HN"
,Caffe Society,www.caffesociety.co.uk/,"Tornado House, Moxon Way, Sherburn In Elmet, Leeds, West Yorkshire, LS25 6FB"
,Caffe’ Amici,https://www.caffeamici.co.uk/,Office 0833 Hanger Lane London W5 3HJ
,Cairngorm Coffee,https://cairngorm.coffee/,Edinburgh
,Cairngorm Leaf and Bean,https://www.cairngormleafandbean.co.uk/,"Unit 9/1, Achnagonalin Industrial Estate Grantown on Spey PH26 3TA"
,Calendar Coffee,https://calendarcoffee.ie/,
,Campbell & Syme,www.campbellandsyme.co.uk,"Fortis Green, London, N2 9JR"
,Campervan Coffee Co,campervancoffeeco.co.uk,"28 Whitehorse Street, Baldock, Hertfordshire "
,Cannon Coffee,https://www.cannoncoffee.co.uk/,"Unit 11 Martlands Industrial Estate, Smarts Heath Ln, Woking, GU22 0RQ"
,Cannonball Coffee Company,https://cannonballcoffee.co.uk/,"Old Fire Station Enterprise Centre, Salt Lane, Salisbury, SP1 1DU"
,Capital Coffee,www.capitalcoffee.co.uk,"5 Saxon Business Centre, Windsor Avenue, London, SW19 2RR"
,Capital Roasters,http://capitalroasters.co.uk,"Pembroke Dock,"
,Capitol Foods,https://www.capitolfoods.com/,"Unit D3, 9 Ferguson Drive, Knockmore Hill Business Park , Lisburn, United Kingdom"
,Caravan Coffee Roaster,http://www.caravanrestaurants.co.uk/exmouth-market.html,"Granary Building, 1 Granary Square (off Goods Way), London, N1C 4AA"
,Cargo Coffee,https://cargocoffee.co.uk/,"16C, BELFAST ROAD, BANGOR, BT20 3PX"
,Caribe Coffee,https://www.caribecoffeeco.com/,"Northumberland England, UK"
,Carnival Coffee Roasters,www.carnivalcoffee.co.uk,"Penge, London, SE20"
,Carringtons Coffee Co,carringtonscoffee.co,"The Roastery at Kenyon Hall Farm, Winwick Lane, Croft, Warrington, Cheshire, WA3 7ED "
,Carrow Coffee,https://carrow.ie/,"Beltra, Sligo, Ireland"
,Cartwheel Coffee Roasters,https://cartwheelcoffee.com/,
,Carve Coffee,https://www.carvecoffee.co.uk/,"Unit 16 Anvil Centre, Prospect Business Park, Swanage, United Kingdom +44 7729 530152"
,Carvetii Coffee,www.carvetiicoffee.co.uk,"The Roastery, Embleton, Cockermouth, Cumbria, CA13 9YA"
,Casa Espresso,http://www.casaespresso.co.uk/,"U5 Briar Rhydding House, Otley Road, Shipley, West Yorkshire, BD17 7JW"
,Cast Iron Coffee Roasters,http://castironroasters.com,"Unit 1, Quell Farm Ind. Units, Greatham, Pulborough, West Sussex, RH20 2ES"
,Catalyst Coffee Roasters,catalyst.cafe,"48 Gray's Inn Road, Holborn, London, WC1X 8LT "
,Chairs and Coffee,chairsandcoffee.co.uk,"512 Fulham road, London, SW6 5NJ "
,Chapel Street Coffee,https://www.chapelstreetcoffee.co.uk/,"Chapel Street, Llangollen, United Kingdom"
,Chapter Coffee,chaptercoffee.com,"London, W2 4UA "
,Cheltenham Coffee,https://cheltenhamcoffee.com/,
,Cherry Blend,https://www.cherryblendcoffeeroasters.com/,1003 Cherry Ave. NE Canton Ohio 44704
,Chimney Fire Coffee,https://www.chimneyfirecoffee.com/,"The Courtyard, Ranmore Manor Dunley Hill, Dorking RH5 6SX"
,Chipp Coffee,https://chippcoffee.co.uk/,
,Cielo Coffee Roasters,http://cielouk.com,"41 Main Street, Garforth, Leeds, LS25 1DS"
,Cinema Coffee Project,https://cinemacoffeeproject.com/,"20 PORTADOWN ROAD, LURGAN, CRAIGAVON BT66 8RE"
,Cinema Coffee Project,https://cinemacoffeeproject.com/,"20 PORTADOWN ROAD, LURGAN, CRAIGAVON BT66 8RE"
,Clifton Coffee,https://cliftoncoffee.co.uk/,
,Climpson and sons coffee,climpsonandsons.com,"The Arch Roastery, Arch 374, Helmsley Place, London, E8 3SB "
,Clo Coffee,https://clocoffee.com/,"41 Main Street, Leeds, United Kingdom"
,Cloud Gate Coffee,https://cloudgatecoffee.co.uk/,"Hawkcliffe Works, Hebden Rd, Oxenhope BD22 9SY"
,Cloud Picker Coffee,www.cloudpickercoffee.ie,"Science Gallery Café, Pearse St, Dublin, Ireland"
,Clumsy Goat Coffee,https://bit.ly/2O6G9BY,"D10 Fieldhouse Industrial Estate, Fieldhouse Road, Rochdale, Lancashire, OL12 0AA"
,Coaltown Coffee Roasters,www.coaltowncoffee.co.uk,"The Roastery, Glynhir Rd, Llandybie, Ammanford, SA18 2TB"
,Cobbled Roaster,https://cobbledroaster.co.uk/,
,Coburg Coffee Co.,coburgcoffeecompany.co.uk,"3 Harrington Way, Warspite Road, London, SE18 5NU "
,Coffee Bay,https://coffeebay.co.uk/,274 Ewell Road Surbiton Surrey KT6 7AG
,Coffee Bean Shop,www.coffeebeanshop.co.uk,"Unit 20, Connect 10 Business Park, Foster Road, Ashford, Kent, TN24 0FE"
,Coffee Central,coffeecentral.co.uk,"Unit 1 Pentrich Road, Giltbrook Ind. Estate, Nottingham, NG16 2UZ "
,Coffee Compass,www.coffeecompass.co.uk,"Fort Road, Wick, Littlehampton, West Sussex, BN17 7QZ"
,Coffee Diff,coffeediff.co.uk/coffee-grid-view,
,Coffee Direct,www.coffeedirect.co.uk,"Mallens Brae, Torphichen, Bathgate, West Lothian, EH48 4NY"
,Coffee Factory,http://thecoffeefactory.co.uk,"Samuria Buildings, Seaton Junction, Axminster, Devon, EX13 7PW"
,Coffee House Lane,https://coffeehouselane.ie/,"Unit 619b Northern Extension, IDA Industrial Estate , Waterford, Ireland"
,Coffee Knoydart,https://www.coffeeknoydart.com/,"Dun Ban Doune, Knoydart, United Kingdom"
,Coffee Maker Guy,https://coffeemakerguy.com/best-espresso-machines-under-100/,"23/3 sukrabad,Dhanmondi,Dhaka"
,Coffee Mango,https://coffeemango.com,Wokingham
,Coffee Mongers,https://www.coffeemongers.com/,Unit 13 Lymington Enterprise Centre Ampress Lane Lymington SO41 8LZ
,Coffee Options,https://coffeeoptions.ie/,Unit 1 Tedwell Business Park Cavan Lower Killygordon Co.Donegal F93 VK2A
,Coffee Plant,www.coffee.uk.com,"180 Portobello Road, Notting Hill, London, W11 2EB"
,Coffee Real Ltd,www.coffeereal.co.uk,"The Elephant House, Graylands Est., Langhurst Wood Road, Horsham, West Sussex, RH12 4QD"
,Coffee Sense,www.coffeesense.co.uk,"Unit 1, 18B Bennetts Field Trading Estate, Wincanton, Somerset, BA9 9DT"
,Coffee Tepuy Artisans,https://www.terracoffee.co.uk/,2 Crighton Place EH74NZ Edinburgh
,Coffee Wanchors,https://www.coffeewanchors.co.uk/,
,Coffee Wing,https://coffeewing.co.uk/,"Hereford, UK"
,Coffee World,www.coffeeworld.co.uk,"Coffee World (UK) Ltd, 135 Cambridge Road, Milton, Cambridge, CB24 6AT"
,CoffeeBeanShop,www.coffeebeanshop.co.uk,"Unit 20, Connect 10 Business Park, Foster Road, , Ashford, Kent, TN24 0FE"
,CoffeeLink,https://coffeelink.com/,"31 Knightsdale Road, Ipswich, Suffolk IP1 4JJ"
,Coffidre Cymru,https://coffidre.cymru/,Caernarfon
,Colco Coffee,www.colcocoffee.com,"6 Royal Parade, Hanger Hill, London W5 1ET"
,Coldblow Coffee,www.coldblowcoffee.co.uk,"Woodchurch, Kent"
,Cole & Mac,https://www.coleandmac.co.uk/,"Kingswinford, United Kingdom"
,Coleman Coffee Roasters,colemancoffee.com,"Unit 5, Dockley Estate, Dockley Road, London "
,Colombia Coffee Roasters,https://www.colombiacoffeeroasters.com,"Unit 30 Old London Road, Oxford, OX33 1XW"
,Colonna Coffee,www.colonnacoffee.com,Bath
,ColourCoffeeRoastery,www.colourcoffee.co.uk,"1 Pink Lane, Newcastle upon Tyne, Tyne and Wear, NE1 5DW"
,Common Coffee,www.commoncoffee.co.uk,"WOODLEA STABLES, INVERKEITHING ROAD, CROSSGATES, Scotland, KY11 7ER"
,Coney Island Coffee,https://www.coneyislandcoffee.co.uk/,"20 Portadown Road, Lurgan, United Kingdom"
,Contact Coffee Co.,www.contactcoffee.com,"Contact Coffee Company OFFISS, 3rd Floor, Falcon Point Heath Hayes, Park Plaza, Cannock, WS12 2DE"
,Cool Hand Coffee Roasters,https://coolhandcoffeeroasters.ie/,"heart of Kilmainham D8, in IFSC Square D1, with a newly opened shop on Upper Baggot Street D4."
,Cooper & Co,https://cooper.co.je/,57 Halkett Place St Helier Jersey JE2 4WG
,Copper Coffee Roasters,https://coppercoffeeroasters.co.uk/,"Unit 4b Bramley Hedge Farm, Redhill Road, Cobham KT11 1EQ"
,Corban Coffee,https://www.corbancoffee.co.uk/,
,Cork Coffee Roasters,https://corkcoffeeroasters.ie/,"2 Bridge St, Cork, Ireland"
,Cornico,https://www.cornico.co.uk/,"Cornico Coffee, Higher Trevibban, Wadebridge, United Kingdom"
,CounterRoast,www.counterroast.co.uk,"Devonbanks Cottage, Pitgober, Dollar, Clackmannanshire, Scotland, FK14 7PQ"
,Cove coffee,https://covecoffee.uk/,
,CRACKD Coffee,https://crackd.coffee/,United Kingdom
,Craft House Coffee,crafthousecoffee.co.uk,"Unit F3, Blacklands Farm, Wheatsheaf Rd, Henfiled, West Sussex, BN5 9AT "
,Crafty Smuggler Coffee,https://craftysmugglercoffee.co.uk/,"82a Western Street, Swansea"
,Crankhouse Coffee,www.crankhousecoffee.co.uk/,"35 Masterson Street, Exeter, Devon, EX2 5GR"
,Creation Coffee,creationcoffee.co.uk,"Weaverham, Cheshire, CW8 3JA "
,Crediton Coffee,www.creditoncoffee.co.uk,"1 Market Square House, Market Street, Crediton, Devon, EX17 2BN"
,Creed Coffee,https://www.creed.coffee,"UNIT 3 MARINE HIGHWAY, BT387FG, Carrickfergus"
,Creed Coffee Roasters,https://creedcoffeeroasters.ie/,"Main Street, Celbridge, Ireland"
,Crema the Crop,https://cremathecrop.co.uk/,"Axminster Carpets Estate, Unit 7A, Woodmead Road, Axminster, United Kingdom"
,Cribyn Coffee Company,https://www.cribyncoffeecompany.com/,
,Cricklewood Coffee Roasters,cricklewoodcoffee.co,
,Crosby Coffee,https://www.crosbycoffee.co.uk/,"2 Oxford Road, Wateroo, L22 8QF"
,Cuck Field Coffee,https://www.cuckfieldcoffee.co.uk/,"Coffee Barn @ Spicers Farm, Whitethroat Lane"
,Cult-Espresso,https://www.cult-espresso.com/,"104 Buccleuch Street, Edinburgh, United Kingdom"
,Cuppers Choice Coffee,https://cupperschoice.coffee/,"UNIT F1, G4, 19-21 CARLISLE ST, SHEFFIELD, S4 7QN UNITED KINGDOM"
,Curious Roo,https://www.curiousroo.com/,"Curious Roo Coffee Roasters 2 British Grove, London, W4 2NL"
,Curve Roasters,www.curveroasters.co.uk,"172 Northdown Rd, Margate, Kent, CT9 2QN"
,Cworks (The Coffeeworks),https://cworks.co.uk,
,Danelaw Coffee,www.danelaw.coffee,"Unit D11, Gate 4 Meltham Mills Industrial Estate, Meltham, Holmfirth, HD9 4DS"
,Danielle’s Coffee,www.daniellescoffee.co.uk,"1 Burwarton, Bridgnorth, Shropshire, WV16 6QG"
,Dark Arts Coffee,www.darkartscoffee.co.uk,"Homerton, London, E9"
,Dark Fluid Coffee,darkfluid.co.uk,"Brockley Market, London, SE4 1UT "
,Dark House,https://darkhouse.co.uk/,"Unit 3, Sunset Hill, Keswick, United Kingdom"
,Dark Woods Coffee,darkwoodscoffee.co.uk,"Holme Mills, West Slaithwaite Road, Marsden, HD7 6LS "
,Dawn Roasters Coffee co,https://dawnroasters.com/,
,Dear Green Coffee,https://www.deargreencoffee.com,"13-27 East Campbell Street, Glasgow G1 5DT"
,Decadent Decaf Coffee Company,www.decadentdecaf.com,"Fort Road, Wick, Littlehampton, BN17 7QZ"
,DEEPmills Suffolk,www.deepmills.co.uk,"45 Orchard Close, Woodbridge, Suffolk, IP12 1LD"
,Discount Coffee,https://www.discountcoffee.ie/,"Rathdown Road, Lisburn, United Kingdom"
,Divine Coffee,https://divinecoffee.co.uk/,74 Micklegate YO1 6LF York
,DJ Miles,www.djmiles.co.uk,"Porlock House, Stephenson Road, Minehead, Somerset, TA24 5EB"
,Django Coffee Co.,www.djangocoffeeco.com,"Unit 5, 58-60 Higher Ardwick, Manchester, M12 6DA"
,Dnisi,https://dnisi.com/,"87 COWGATE, KIRKINTILLOCH G66 1JD"
,Do Good Coffee,https://dogoodcoffee.uk/,"Little Pett Bottom Farm, Maxted Street CT4 6DJ"
,Dockside Roastery,https://www.docksideroastery.co.uk/,England
,Domestique Coffee,https://www.domestiquecoffee.com/,"3017 6th Ave South. Birmingham, Al, 35233"
,doppiocoffee,doppiocoffee.co.uk,"90 Hanbury Street, London, E1 5JL "
,Double Trouble Coffee,https://doubletroublecoffee.co.uk/,"Bridgend, United Kingdom"
,Dragon Roastery,https://www.dragonroastery.co.uk/,"Newborough, Llanfairpwllgwyngyll, United Kingdom"
,Dream Beans Coffee,https://dreambeanscoffee.ie/,"Greenbean House, Coes Road, Dundalk, Ireland"
,Drop Hopper Coffee,https://www.drophoppercoffee.com/,"Unit 3 Masonsfield Business Park, Kilmore Village, Crossgar, United Kingdom"
,Drury Tea & Coffee,www.drurycoffee.com,"Unit 15 Rich Industrial Estate, Crimscott Street, London, SE1 5UF"
,DublinBaristaSchool,dublinbaristaschool.ie,"19a Anne Street South, Dublin, Ireland, 2 "
,Due Fratelli Coffee,https://duefratellicoffee.co.uk/,"Unit B, Broadway Drive, Halesworth Suffolk, IP19 8QR"
,Durham Coffee,www.durhamcoffee.co.uk,"Unit 8, AMR Building, Sacriston Industrial Estate, Plawsworth Road, Durham, DH7 6JX"
,Dusty Ape Roastery & Coffee Bar,dustyape.com,"Marsh Farm Roastery, Hilperton, Wiltshire, BA14 7PJ "
,DYFI Roastery,https://www.dyfiroastery.com/,"Unit 5, Village Workshops, Llanbrynmair, United Kingdom"
,Easy Jose Coffee,https://easyjosecoffee.co.uk/,17 Waterer Way Shepton Mallet BA4 5FL
,Echelon Coffee,https://www.echeloncoffee.co.uk/,"Unit 20 Penraevon Industrial Estate, Leeds, United Kingdom"
,Eco-Roast,https://www.eco-roast.com/,"Semley Industrial Estate Station Rd, Semley, Shaftesbury SP7 9AN, United Kingdom"
,Edgcumbes Coffee Roasters and Tea merchants,www.edgcumbes.co.uk,"Wicks House, Ford Lane, Arundel, West Sussex, BN18 0DF"
,Edinburgh Tea & Coffee Co,https://www.etcc.co.uk/,"214/15G Sir Harry Lauder Road, Edinburgh, United Kingdom"
,Eighty Seven Plus,https://eightysevenplus.com,"Whitstable, Kent"
,Eighty9,https://www.eighty9.ie/,"64 Lower Georges Street Dun Laoghaire, Ireland na"
,ELECTRIC COFFEE CO.,electriccoffee.co.uk,"40 Haven Green, London, W5 2NX "
,Electro Coffee,https://electrocoffee.co.uk/,
,Element Coffee,https://www.elementcoffee.co.uk/,236 Northfield Avenue London W13 9SJ
,Eleven 14,https://www.eleven14.ie/,"Unit A1, Annacotty Business Park Limerick, V94 DX04"
,Elsewhere Coffee,https://elsewherecoffee.com/,"FFINCH STREET, London, United Kingdom"
,Established,https://established.coffee/,"54 Hill Street, Belfast, United Kingdom"
,Ethical Addictions,www.eacoffee.co.uk,"Rear Warehouse, 69A Alvin Street, Gloucester, GL1 3EH"
,Exchange Coffee Co.,www.exchangecoffee.co.uk,"Craven, Calderdale, Clitheroe, Lancashire"
,EXE Coffee Roasters,https://execoffeeroasters.co.uk/,"88 QUEEN STREET,EXETER DEVON,EX4 3RP"
,Exmouth Coffee Roasters,https://exmouthcoffeeroasters.co.uk/,"Address - Exmouth Coffee Roastery, Unit 1, Gunthorpe St, London"
,Extract Coffee,www.extractcoffee.co.uk,"Unit 1, Gatton Road, Bristol, BS2 9SH"
,Farrers ™,www.farrerscoffee.co.uk,"Shap Road Industrial Estate, Fell View Trading Park, Kendal, Cumbria, LA9 6NZ"
,Federation Coffee,federation.coffee,"Unit 77-78, Brixton Village Market, London, SW9 8PS "
,Ferns,www.coffeeisferns.co.uk,"Fern House, 4 Onslow Close, Basingstoke Hampshire, RG24 8QL"
,Ferrari’s Coffee,www.ferrariscoffee.co.uk,"Unit 2300 Central Park, Bridgend Ind. Estate, Bridgend, Mid Glamorgan, Wales, CF31 3TY"
,Ffa da,https://ffada.co.uk/,Llandanwg
,Fianchetto Coffee,https://www.fianchettocoffee.com/,"4 Ramsey row, Goole DN14 9HJ, UK"
,Fidela Coffee,https://fidelacoffee.com/,Lower Newmills Coleraine BT52 2JR Northern Ireland
,Figment Coffee,https://figmentcoffee.com,"70 countesswells road, Aberdeen City, AB15 7YJ"
,Fika Coffee Roasters,https://www.fikacoffeeroasters.co.uk/,"Unit 2B Riverside Industrial Estate, Langley Park, Durham, DH7 9TT"
,FINCA,fincacoffee.co.uk,"41 Great Western Road, Dorchester, Dorset, DT1 1UF "
,Finest Coffee Beans & Tea,http://www.finestcoffee.co.uk,"22, Market Street, Longton, Stoke-on-Trent"
,Fire & Flow Coffee,https://www.fireandflowcoffee.co.uk/,"Unit 2aTall Trees Estate,Bagendon"
,Firebird Coffee Company,https://www.firebirdcoffee.co.uk/,London
,First We Brew,https://firstwebrew.com,"Unit 38956, 13 Freeland Park, Wareham Road, Poole, Dorset, BH16 6FH, UK"
